imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast,genre,running_time,other_wins,other_noms
tt0120786,the patriot,1998,11217.0,4.2,,2.2,,,4,2,90 min,0,0
tt0092890,dirty dancing,1987,185755.0,7.0,6.5,6.9,,1.9,4,3,100 min,10.0,6.0
tt0311113,master and commander: the far side of the world,2003,192689.0,7.4,8.1,8.5,,92.1,4,5,138 min,21.0,90.0
tt0077588,the fury,1978,12566.0,6.4,6.4,7.8,,,4,2,118 min,1.0,0
tt0112281,ace ventura: when nature calls,1995,192096.0,6.4,4.5,3.2,,,4,3,90 min,7.0,6.0
tt0455824,australia,2008,115683.0,6.6,5.3,5.5,,49.42,4,6,165 min,12.0,35.0
tt0103644,alien³,1992,261679.0,6.5,5.9,4.2,,,4,3,114 min,5.0,23.0
tt2543164,arrival,2016,539812.0,7.9,8.1,9.4,,100.5,4,4,116 min,65.0,255.0
tt0095270,hairspray,1988,18852.0,6.9,7.7,9.8,,,4,6,92 min,0,7.0
tt1398426,straight outta compton,2015,169281.0,7.9,7.2,8.8,,129.4,4,4,147 min,28.0,39.0
tt0099938,kindergarten cop,1990,129168.0,6.1,6.1,5.0,,,4,2,111 min,4.0,1.0
tt0103060,teenage mutant ninja turtles ii: the secret of the ooze,1991,48761.0,6.0,4.5,3.5,,,4,5,88 min,3.0,1.0
tt0085549,flashdance,1983,44236.0,6.2,3.9,3.4,,,4,3,95 min,10.0,14.0
tt1854564,percy jackson: sea of monsters,2013,104750.0,5.8,3.9,4.2,,68.56,4,4,106 min,3.0,5.0
tt0356634,garfield,2004,74716.0,5.0,2.7,1.5,,75.25,4,4,80 min,1.0,1.0
tt0100802,total recall,1990,284431.0,7.5,5.7,8.2,,119.0,4,3,113 min,8.0,14.0
tt0338459,spy kids 3-d: game over,2003,51232.0,4.2,5.7,4.5,,,4,5,84 min,3.0,3.0
tt0082398,for your eyes only,1981,86141.0,6.8,5.4,7.1,,,4,3,127 min,2.0,4.0
tt1179904,paranormal activity,2007,212148.0,6.3,6.8,8.3,,107.9,4,3,86 min,3.0,12.0
tt0312004,wallace & gromit: the curse of the were-rabbit,2005,119118.0,7.4,8.7,9.5,,56.07,4,8,85 min,39.0,25.0
tt0093428,the living daylights,1987,82849.0,6.7,6.0,7.2,,,4,3,130 min,3.0,4.0
tt4633694,spider-man: into the spider-verse,2018,282011.0,8.4,8.7,9.7,,,4,5,117 min,69.0,52.0
tt0081573,superman ii,1980,93304.0,6.8,8.7,8.6,,,4,3,127 min,3.0,7.0
tt0120902,the x files,1998,97296.0,7.0,6.0,6.5,,,4,4,121 min,7.0,10.0
tt0095956,rambo iii,1988,114646.0,5.8,3.6,3.8,,,4,2,102 min,2.0,5.0
tt0086034,octopussy,1983,88661.0,6.6,6.3,4.1,,,4,3,131 min,2.0,3.0
tt0230011,atlantis: the lost empire,2001,96096.0,6.9,5.2,4.9,,83.56,4,6,95 min,2.0,14.0
tt0762107,i now pronounce you chuck & larry,2007,135232.0,5.9,3.7,1.4,,119.7,4,2,115 min,0,14.0
tt0099348,dances with wolves,1990,226138.0,8.0,7.2,8.2,,,4,3,181 min,44.0,37.0
tt0072443,the mirror,1975,34723.0,8.1,,10.0,,,4,2,107 min,0,0
tt0100156,mirror mirror,1990,1147.0,5.6,,,,,4,2,104 min,0,0
tt1114740,paul blart: mall cop,2009,98233.0,5.2,3.9,3.3,,146.34,4,4,91 min,1.0,3.0
tt0090605,aliens,1986,616155.0,8.4,8.4,9.9,,,4,4,137 min,18.0,23.0
tt0331632,scooby-doo 2: monsters unleashed,2004,44985.0,5.0,3.4,2.2,,84.05,4,7,93 min,1.0,4.0
tt0453467,deja vu,2006,281058.0,7.0,5.9,5.5,,63.94,4,4,126 min,1.0,6.0
tt0082522,home sweet home,1981,495.0,3.7,,,,,4,1,85 min,0,0
tt0066142,the family,1970,41.0,7.6,,,,,4,2,58 min,0,0
tt0084805,tootsie,1982,90947.0,7.4,8.8,9.0,,,4,3,116 min,24.0,30.0
tt2119532,hacksaw ridge,2016,389589.0,8.1,7.1,8.5,,67.12,4,4,139 min,49.0,113.0
tt1229340,anchorman 2: the legend continues,2013,159751.0,6.3,6.1,7.5,,76.82,4,1,119 min,1.0,23.0
tt3076658,creed,2015,232501.0,7.6,8.2,9.5,,81.16,4,2,133 min,46.0,62.0
tt4425200,john wick: chapter 2,2017,327238.0,7.5,7.5,8.9,,91.97,4,3,122 min,4.0,6.0
tt0358135,shall we dance,2004,41395.0,6.1,4.7,4.6,,57.83,4,4,106 min,0,7.0
tt0364725,dodgeball: a true underdog story,2004,218282.0,6.7,5.5,7.0,,114.17,4,2,92 min,2.0,9.0
tt0144528,nutty professor ii: the klumps,2000,46426.0,4.4,3.8,2.6,,122.39,4,3,106 min,2.0,14.0
tt2381991,the huntsman: winter's war,2016,91720.0,6.1,3.5,1.8,,46.45,4,4,114 min,0,16.0
tt0120828,six days seven nights,1998,69480.0,5.8,5.1,3.6,,,4,4,98 min,2.0,5.0
