,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
242,claudelle inglish,1961,tt0054752,O,O,O,N,O,O,O,O,O,O,O,O,O,O
243,the clown and the kid,1961,tt0054753,O,O,O,O,O,O,O,O,O,O,O,O,O,O
244,a cold wind in august,1961,tt0054755,O,O,O,O,O,O,O,O,O,O,O,O,O,O
245,the comancheros,1961,tt0054757,O,O,O,O,O,O,O,O,O,O,O,O,O,O
246,come september,1961,tt0054759,O,O,O,O,O,O,O,O,O,O,O,O,O,O
247,the continental twist,1961,tt0054764,O,O,O,O,O,O,O,O,O,O,O,O,O,O
248,creature from the haunted sea,1961,tt0054768,O,O,O,O,O,O,O,O,O,O,O,O,O,O
249,cry for happy,1961,tt0054772,O,O,O,O,O,O,O,O,O,O,O,O,O,O
250,daffy's inn trouble,1961,tt0054782,O,O,O,O,O,O,O,O,O,O,O,O,O,O
251,the deadly companions,1961,tt0054795,O,O,O,O,O,O,O,O,O,O,O,O,O,O
252,the devil's hand,1961,tt0055902,O,O,O,O,O,O,O,O,O,O,O,O,O,O
253,devil's partner,1961,tt0051536,O,O,O,O,O,O,O,O,O,O,O,O,O,O
254,diary of a nudist,1961,tt0054809,O,O,O,O,O,O,O,O,O,O,O,O,O,O
255,down and outing,1961,tt0054822,O,O,O,O,O,O,O,O,O,O,O,O,O,O
256,el cid,1961,tt0054847,O,O,O,O,O,O,O,N,O,O,O,O,N,O
257,the errand boy,1961,tt0054853,O,O,O,O,O,O,O,O,O,O,O,O,O,O
258,everything's ducky,1961,tt0054860,O,O,O,O,O,O,O,O,O,O,O,O,O,O
259,the exiles,1961,tt0054861,O,O,O,O,O,O,O,O,O,O,O,O,O,O
260,the explosive generation,1961,tt0054862,O,O,O,O,O,O,O,O,O,O,O,O,O,O
261,fanny,1961,tt0054866,N,O,N,O,O,N,O,N,N,O,O,O,O,O
262,fear no more,1961,tt0150524,O,O,O,O,O,O,O,O,O,O,O,O,O,O
263,a fever in the blood,1961,tt0054873,O,O,O,O,O,O,O,O,O,O,O,O,O,O
264,the fiercest heart,1961,tt0054874,O,O,O,O,O,O,O,O,O,O,O,O,O,O
265,five minutes to live,1961,tt0054817,O,O,O,O,O,O,O,O,O,O,O,O,O,O
